"rank","name","pop2021","pop2010","growth","density","aland_sqmi"
"1","Seattle","776555","610630","0.2717","9260","83.8620"
"2","Spokane","227579","209525","0.0862","3310","68.7590"
"3","Tacoma","221259","198230","0.1162","4447","49.7590"
"4","Vancouver","187615","167595","0.1195","3849","48.7440"
"5","Bellevue","150364","128357","0.1715","4494","33.4610"
"6","Kent","133489","119067","0.1211","3955","33.7500"
"7","Everett","112249","103173","0.0880","3381","33.1980"
"8","Spokane Valley","104564","90047","0.1612","2772","37.7200"
"9","Renton","101679","92351","0.1010","4339","23.4340"
"10","Kirkland","99212","80866","0.2269","5572","17.8070"
"11","Bellingham","96014","81297","0.1810","3468","27.6860"
"12","Federal Way","95415","89556","0.0654","4280","22.2950"
"13","Yakima","93815","91637","0.0238","3375","27.7950"
"14","Kennewick","87649","74447","0.1773","3193","27.4490"
"15","Redmond","80915","54731","0.4784","4884","16.5670"
"16","Auburn","80814","70560","0.1453","2733","29.5710"
"17","Pasco","77326","62928","0.2288","2280","33.9170"
"18","Marysville","71682","60193","0.1909","3455","20.7490"
"19","Sammamish","66686","57656","0.1566","3264","20.4280"
"20","Lakewood","62089","57600","0.0779","3640","17.0580"
"21","South Hill","60172","52431","0.1476","3278","18.3590"
"22","Richland","59609","48876","0.2196","1520","39.2190"
"23","Shoreline","57967","53180","0.0900","4982","11.6350"
"24","Lacey","56576","42708","0.3247","3309","17.0990"
"25","Olympia","53630","47067","0.1394","2941","18.2360"
"26","Burien","51038","48224","0.0584","5084","10.0390"
"27","Bothell","49227","39976","0.2314","3610","13.6350"
"28","Puyallup","43379","37224","0.1654","3069","14.1350"
"29","Edmonds","42565","39756","0.0707","4774","8.9160"
"30","Bremerton","42449","37921","0.1194","1491","28.4770"
"31","Lynnwood","40607","35924","0.1304","5154","7.8790"
"32","Issaquah","40069","30555","0.3114","3303","12.1300"
"33","Longview","39224","36794","0.0660","2644","14.8370"
"34","Parkland","37303","35803","0.0419","4316","8.6430"
"35","Mount Vernon","36722","31755","0.1564","2986","12.2980"
"36","Pullman","35632","29835","0.1943","3339","10.6710"
"37","Lake Stevens","35057","28306","0.2385","3934","8.9120"
"38","Wenatchee","34614","32913","0.0517","3424","10.1080"
"39","University Place","34565","31108","0.1111","4144","8.3400"
"40","Walla Walla","32914","32505","0.0126","2400","13.7150"
"41","Spanaway","32575","27227","0.1964","3723","8.7500"
"42","Des Moines","32544","29743","0.0942","5075","6.4120"
"43","Graham","28976","23491","0.2335","828","34.9920"
"44","SeaTac","28890","26998","0.0701","2871","10.0640"
"45","Maple Valley","27542","22850","0.2053","4587","6.0040"
"46","Bainbridge Island","26254","23060","0.1385","951","27.6140"
"47","Mercer Island","25918","22769","0.1383","4060","6.3830"
"48","Camas","25630","19908","0.2874","1821","14.0740"
"49","Tumwater","24742","20193","0.2253","1420","17.4290"
"50","Moses Lake","24698","20486","0.2056","1380","17.8930"
"51","Orchards","24335","19556","0.2444","4548","5.3510"
"52","Mill Creek East","24291","15709","0.5463","5460","4.4490"
"53","Oak Harbor","23975","22210","0.0795","2486","9.6440"
"54","North Lynnwood","23620","16574","0.4251","7554","3.1270"
"55","Kenmore","23281","20568","0.1319","3786","6.1490"
"56","Frederickson","22994","18719","0.2284","1988","11.5640"
"57","Cottage Lake","22677","22494","0.0081","997","22.7480"
"58","Silver Firs","22358","20891","0.0702","3263","6.8530"
"59","Arlington","22041","18002","0.2244","2268","9.7190"
"60","Union Hill-Novelty Hill","21992","18805","0.1695","908","24.2320"
"61","Battle Ground","21922","17853","0.2279","2577","8.5070"
"62","Eastmont","21733","20101","0.0812","4250","5.1140"
"63","Silverdale","21677","19204","0.1288","1716","12.6330"
"64","Ellensburg","21579","18325","0.1776","2845","7.5840"
"65","Mukilteo","21371","20289","0.0533","3416","6.2570"
"66","Bonney Lake","21354","17616","0.2122","2598","8.2180"
